SUBDIVISION,YEAR,ANNUAL
"West Madhya Pradesh",2008,791.1
"West Madhya Pradesh",2009,877
"West Madhya Pradesh",2010,776.3
"West Madhya Pradesh",2011,1063.9
"West Madhya Pradesh",2012,1035.2
"West Madhya Pradesh",2013,1396.3
"West Madhya Pradesh",2014,864.9
"West Madhya Pradesh",2015,1042.3
"West Madhya Pradesh",2016,1098
"West Madhya Pradesh",2017,769
"East Madhya Pradesh",1997,1357.1
"East Madhya Pradesh",1998,1013.4
"East Madhya Pradesh",1999,1443.9
"East Madhya Pradesh",2000,874.2
"East Madhya Pradesh",2001,1170.1
"East Madhya Pradesh",2002,950.2
"East Madhya Pradesh",2003,1438.1
"East Madhya Pradesh",2004,955.3
"East Madhya Pradesh",2005,1366.4
"East Madhya Pradesh",2006,943.4
"East Madhya Pradesh",2007,653.8
"East Madhya Pradesh",2008,1003.2
"East Madhya Pradesh",2009,943.9
"East Madhya Pradesh",2010,960.4
"East Madhya Pradesh",2011,1275.2
"East Madhya Pradesh",2012,1053.1
"East Madhya Pradesh",2013,1521.9
"East Madhya Pradesh",2014,924.9
"East Madhya Pradesh",2015,939.2
"East Madhya Pradesh",2016,1340
"East Madhya Pradesh",2017,840.1
"Gujarat Region",1997,1068.9
"Gujarat Region",1998,1070
"Gujarat Region",1999,568.4
"Gujarat Region",2000,550.6
"Gujarat Region",2001,849
"Gujarat Region",2002,637.2
"Gujarat Region",2003,1160.3
"Gujarat Region",2004,1005.8
"Gujarat Region",2005,1316.4
"Gujarat Region",2006,1478
"Gujarat Region",2007,1178.9
"Gujarat Region",2008,911.1
"Gujarat Region",2009,641.6
"Gujarat Region",2010,1088.7
"Gujarat Region",2011,890.5
"Gujarat Region",2012,714
"Gujarat Region",2013,1118.6
"Gujarat Region",2014,705.7
"Gujarat Region",2015,622.9
"Gujarat Region",2016,764.9
"Gujarat Region",2017,1024.4
"Saurashtra & Kutch",1997,600.2
"Saurashtra & Kutch",1998,566.9
"Saurashtra & Kutch",1999,380.7
"Saurashtra & Kutch",2000,286.1
"Saurashtra & Kutch",2001,510.2
"Saurashtra & Kutch",2002,308.1
"Saurashtra & Kutch",2003,686.2
"Saurashtra & Kutch",2004,482.2
"Saurashtra & Kutch",2005,631.6
"Saurashtra & Kutch",2006,701.8
"Saurashtra & Kutch",2007,890.7
"Saurashtra & Kutch",2008,607.9
"Saurashtra & Kutch",2009,596.9
"Saurashtra & Kutch",2010,1119.9
"Saurashtra & Kutch",2011,742.5
"Saurashtra & Kutch",2012,323.8
"Saurashtra & Kutch",2013,681.8
"Saurashtra & Kutch",2014,383.9
"Saurashtra & Kutch",2015,441.7
"Saurashtra & Kutch",2016,482.9
"Saurashtra & Kutch",2017,652.1
"Konkan & Goa",1997,3027.2
"Konkan & Goa",1998,3234.7
"Konkan & Goa",1999,2912.1
"Konkan & Goa",2000,3133.2
"Konkan & Goa",2001,2395.4
"Konkan & Goa",2002,2537.2
"Konkan & Goa",2003,2842.3
"Konkan & Goa",2004,2985.9
"Konkan & Goa",2005,3615.7
"Konkan & Goa",2006,3482.2
"Konkan & Goa",2007,3468.5
"Konkan & Goa",2008,3053.1
"Konkan & Goa",2009,2716.6
"Konkan & Goa",2010,3778.1
"Konkan & Goa",2011,3825.2
"Konkan & Goa",2012,3018.4
"Konkan & Goa",2013,3524
"Konkan & Goa",2014,2757.5
"Konkan & Goa",2015,2082
"Konkan & Goa",2016,3663.9
"Konkan & Goa",2017,3443.4
"Madhya Maharashtra",1997,1000.9
"Madhya Maharashtra",1998,1101.1
"Madhya Maharashtra",1999,965.7
"Madhya Maharashtra",2000,701.6
"Madhya Maharashtra",2001,785.1
"Madhya Maharashtra",2002,740.3
"Madhya Maharashtra",2003,772.6
"Madhya Maharashtra",2004,1029.5
"Madhya Maharashtra",2005,1221.3
"Madhya Maharashtra",2006,1395.7
"Madhya Maharashtra",2007,1040.4
"Madhya Maharashtra",2008,916.9
"Madhya Maharashtra",2009,941.7
"Madhya Maharashtra",2010,1027.5
"Madhya Maharashtra",2011,852.6
"Madhya Maharashtra",2012,689.8
"Madhya Maharashtra",2013,962.4
"Madhya Maharashtra",2014,838
"Madhya Maharashtra",2015,644.5
"Madhya Maharashtra",2016,906.3
"Madhya Maharashtra",2017,994.4
Matathwada,1997,790.5
Matathwada,1998,1126.7
Matathwada,1999,767.6
Matathwada,2000,684.4
Matathwada,2001,732.4
Matathwada,2002,722.1
Matathwada,2003,720.1
Matathwada,2004,678.7
Matathwada,2005,940.5
Matathwada,2006,872.9
Matathwada,2007,714.6
Matathwada,2008,646.3
Matathwada,2009,668.9
Matathwada,2010,1011.6
Matathwada,2011,663.5
Matathwada,2012,526.7
Matathwada,2013,888
Matathwada,2014,548.9
Matathwada,2015,532.2
Matathwada,2016,949
Matathwada,2017,755.6
Vidarbha,1997,1039.3
Vidarbha,1998,1061.7
Vidarbha,1999,1165.1
Vidarbha,2000,1105.2
Vidarbha,2001,1122.1
Vidarbha,2002,925.8
Vidarbha,2003,1018.6
Vidarbha,2004,731.9
Vidarbha,2005,1214.6
Vidarbha,2006,1215.6
Vidarbha,2007,1167
Vidarbha,2008,866.6
Vidarbha,2009,770.8
Vidarbha,2010,1338.1
Vidarbha,2011,893.2
Vidarbha,2012,1107.7
Vidarbha,2013,1520
Vidarbha,2014,919.1
Vidarbha,2015,993.8
Vidarbha,2016,1163.8
Vidarbha,2017,803
Chhattisgarh,1997,1317.2
Chhattisgarh,1998,1332.5
Chhattisgarh,1999,1322.6
Chhattisgarh,2000,906.3
Chhattisgarh,2001,1600.1
Chhattisgarh,2002,990.2
Chhattisgarh,2003,1694.3
Chhattisgarh,2004,1144.5
Chhattisgarh,2005,1287.2
Chhattisgarh,2006,1317.7
Chhattisgarh,2007,1281.2
Chhattisgarh,2008,1108.5
Chhattisgarh,2009,956.6
Chhattisgarh,2010,1306.6
Chhattisgarh,2011,1302.7
Chhattisgarh,2012,1377.4
Chhattisgarh,2013,1420
Chhattisgarh,2014,1278.7
Chhattisgarh,2015,1117.6
Chhattisgarh,2016,1315.8
Chhattisgarh,2017,1124.4
"Coastal Andhra Pradesh",1997,972.1
"Coastal Andhra Pradesh",1998,1310.8
"Coastal Andhra Pradesh",1999,825.1
"Coastal Andhra Pradesh",2000,992.3
"Coastal Andhra Pradesh",2001,1009.3
"Coastal Andhra Pradesh",2002,703.2
"Coastal Andhra Pradesh",2003,1096.8
"Coastal Andhra Pradesh",2004,873.6
"Coastal Andhra Pradesh",2005,1221.6
"Coastal Andhra Pradesh",2006,1159.6
"Coastal Andhra Pradesh",2007,1099.2
"Coastal Andhra Pradesh",2008,1107.5
"Coastal Andhra Pradesh",2009,790.5
"Coastal Andhra Pradesh",2010,1712.4
"Coastal Andhra Pradesh",2011,861.9
"Coastal Andhra Pradesh",2012,1318.4
"Coastal Andhra Pradesh",2013,1120.5
"Coastal Andhra Pradesh",2014,874.9
"Coastal Andhra Pradesh",2015,1010.9
"Coastal Andhra Pradesh",2016,908.9
"Coastal Andhra Pradesh",2017,892.7
Telangana,1997,856
Telangana,1998,1093
Telangana,1999,863.8
Telangana,2000,1078
Telangana,2001,922.3
Telangana,2002,765.3
Telangana,2003,963.2
Telangana,2004,667
Telangana,2005,1163.1
Telangana,2006,1053
Telangana,2007,843.3
Telangana,2008,1035.3
Telangana,2009,666.3
Telangana,2010,1276.4
Telangana,2011,753.1
Telangana,2012,1008.6
Telangana,2013,1348.7
Telangana,2014,746.4
Telangana,2015,857.3
Telangana,2016,1043.4
Telangana,2017,815.7
Rayalseema,1997,835
Rayalseema,1998,948.1
Rayalseema,1999,537.2
Rayalseema,2000,871.3
Rayalseema,2001,924.5
Rayalseema,2002,615.2
Rayalseema,2003,725.5
Rayalseema,2004,741.7
Rayalseema,2005,1066.4
Rayalseema,2006,638.1
Rayalseema,2007,980.6
Rayalseema,2008,798
Rayalseema,2009,688.2
Rayalseema,2010,963.5
Rayalseema,2011,738
Rayalseema,2012,715
Rayalseema,2013,762.6
Rayalseema,2014,551.8
Rayalseema,2015,1047.1
Rayalseema,2016,555.4
Rayalseema,2017,834.5
"Tamil Nadu",1997,950.5
"Tamil Nadu",1998,1079.7
"Tamil Nadu",1999,922.6
"Tamil Nadu",2000,972
"Tamil Nadu",2001,483.4
"Tamil Nadu",2002,318
"Tamil Nadu",2003,348.5
"Tamil Nadu",2004,1037.6
"Tamil Nadu",2005,1365.3
"Tamil Nadu",2006,927.9
"Tamil Nadu",2007,1067.2
"Tamil Nadu",2008,1203.4
"Tamil Nadu",2009,928.5
"Tamil Nadu",2010,1095.2
"Tamil Nadu",2011,926.5
"Tamil Nadu",2012,636.1
"Tamil Nadu",2013,741.9
"Tamil Nadu",2014,913
"Tamil Nadu",2015,1204.6
"Tamil Nadu",2016,535
"Tamil Nadu",2017,973
"Coastal Karnataka",1997,3953.6
"Coastal Karnataka",1998,3707.9
"Coastal Karnataka",1999,3779.9
"Coastal Karnataka",2000,3351.3
"Coastal Karnataka",2001,3111.6
"Coastal Karnataka",2002,2793.1
"Coastal Karnataka",2003,3071.9
"Coastal Karnataka",2004,3070
"Coastal Karnataka",2005,3470.9
"Coastal Karnataka",2006,3837.3
"Coastal Karnataka",2007,3860.2
"Coastal Karnataka",2008,3206.4
"Coastal Karnataka",2009,3862
"Coastal Karnataka",2010,3686.8
"Coastal Karnataka",2011,3908.6
"Coastal Karnataka",2013,4229.4
"Coastal Karnataka",2014,3684.4
"Coastal Karnataka",2015,3106
"Coastal Karnataka",2016,2619.7
"Coastal Karnataka",2017,2947.6
"North Interior Karnataka",1997,1095.6
"North Interior Karnataka",1998,852.5
"North Interior Karnataka",1999,660.8
"North Interior Karnataka",2000,712.4
"North Interior Karnataka",2001,598
"North Interior Karnataka",2002,530.5
"North Interior Karnataka",2003,473.5
"North Interior Karnataka",2004,641.9
"North Interior Karnataka",2005,807.5
"North Interior Karnataka",2006,650.6
"North Interior Karnataka",2007,836.9
"North Interior Karnataka",2008,712.4
"North Interior Karnataka",2009,913.5
"North Interior Karnataka",2010,853.2
"North Interior Karnataka",2011,655.2
"North Interior Karnataka",2012,583.8
"North Interior Karnataka",2013,723.2
"North Interior Karnataka",2014,756.8
"North Interior Karnataka",2015,551.9
"North Interior Karnataka",2016,625
"North Interior Karnataka",2017,739.6
"South Interior Karnataka",1997,1180
"South Interior Karnataka",1998,1113.3
"South Interior Karnataka",1999,1149.6
"South Interior Karnataka",2000,1207.2
"South Interior Karnataka",2001,926.3
"South Interior Karnataka",2002,755.8
"South Interior Karnataka",2003,762.8
"South Interior Karnataka",2004,1133.4
"South Interior Karnataka",2005,1319.3
"South Interior Karnataka",2006,1030.5
"South Interior Karnataka",2007,1231
"South Interior Karnataka",2008,1140.6
"South Interior Karnataka",2009,1158.4
"South Interior Karnataka",2010,1239.7
"South Interior Karnataka",2011,1087.4
"South Interior Karnataka",2012,877.8
"South Interior Karnataka",2013,1110.7
"South Interior Karnataka",2014,1184.2
"South Interior Karnataka",2015,1112.5
"South Interior Karnataka",2016,687.3
"South Interior Karnataka",2017,1061.7
Kerala,1997,3252.4
Kerala,1998,3151.5
Kerala,1999,2914.6
Kerala,2000,2412.6
Kerala,2001,2931.1
Kerala,2002,2507.4
Kerala,2003,2394.9
Kerala,2004,2886.1
Kerala,2005,3031.1
Kerala,2006,3420.6
Kerala,2007,3489.6
Kerala,2008,2524.5
Kerala,2009,2810.6
Kerala,2010,3131.8
Kerala,2011,3035.1
Kerala,2012,2151.1
Kerala,2013,3255.4
Kerala,2014,3046.4
Kerala,2015,2600.6
Kerala,2016,1870.9
Kerala,2017,2664.9
Lakshadweep,1997,1764.7
Lakshadweep,1998,1986.9
Lakshadweep,1999,1857.3
Lakshadweep,2000,1372.1
Lakshadweep,2001,1380.6
Lakshadweep,2002,1033.5
Lakshadweep,2003,1532.9
Lakshadweep,2004,1553.2
Lakshadweep,2005,1575.4
Lakshadweep,2006,1598.6
Lakshadweep,2007,2361.6
Lakshadweep,2008,1726.8
Lakshadweep,2009,1570.1
Lakshadweep,2010,1725.2
Lakshadweep,2011,1533.7
Lakshadweep,2012,1405.5
Lakshadweep,2013,1426.3
Lakshadweep,2014,1395
Lakshadweep,2015,1642.9
Lakshadweep,2016,1065.7
Lakshadweep,2017,1738.9
