SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DECS
"Andaman & Nicobar Islands",2016,72,15.8,5.4,2.4,191.1,429.4,301.2,227.7,604.3,287.2,181.7,533.70
"Andaman & Nicobar Islands",2017,228.7,5.6,33,108.3,275.8,349.1,389.4,414.7,372.8,263,205.9,243.70
"Arunachal Pradesh",1997,26.2,68.5,158.5,94.7,212.6,548,395.2,237,403.5,58.5,45.9,26.30
"Arunachal Pradesh",1998,26.7,78.8,193.6,125,275,839.8,823.8,807,236.8,187.2,20.5,2.50
"Arunachal Pradesh",1999,7.9,6.1,40.4,159.6,343.2,450,376.9,438.1,254,207.9,28.3,4.30
"Arunachal Pradesh",2000,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.60
"Arunachal Pradesh",2001,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.90
"Arunachal Pradesh",2002,74.2,37.2,126.3,248.2,197.1,396.8,604,290.7,257.9,94,45,17.90
"Arunachal Pradesh",2003,22.9,83.2,109.6,182,173.5,424.3,645.3,327.2,259.9,182.6,25,16.20
"Arunachal Pradesh",2004,38,39.1,175.5,210.2,298.7,402.9,654.3,243,278.5,184.8,5.6,15.20
"Arunachal Pradesh",2005,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400,243.6,139.3,28.6,3.30
"Arunachal Pradesh",2006,6,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.70
"Arunachal Pradesh",2007,13.4,97.4,48.1,292.4,250.4,530.2,761,364.6,529.3,102.6,24.3,6.90
"Arunachal Pradesh",2008,76.7,39.7,122.6,192.4,185,423.6,456.1,439.3,189.7,115.1,1.7,2.60
"Arunachal Pradesh",2009,18,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.90
"Arunachal Pradesh",2010,0.6,13.2,237.8,466.9,312.7,509.9,378,321.5,444.2,97.7,58.9,14.20
"Arunachal Pradesh",2011,40,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.20
"Arunachal Pradesh",2012,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316,724.9,248.1,22,26.20
"Arunachal Pradesh",2013,18.5,40.5,115.1,175.1,335.8,290,329.6,230.2,316.1,164.1,13.3,14.60
"Arunachal Pradesh",2014,19,101.9,80.3,86.7,299,415.8,392.4,599.6,343,35.1,20.1,10.20
"Arunachal Pradesh",2015,30.8,47.5,97.5,287.1,238.9,637.9,329.3,595.5,374.2,65.2,33.8,29.80
"Arunachal Pradesh",2016,29.4,73.2,128.4,333.1,278.9,379.4,620.1,145.7,532.9,172.7,8.4,4.60
"Arunachal Pradesh",2017,8.2,86.2,221.8,348.2,257.1,370.8,437.8,456.4,318.6,227.1,9.9,3.40
"Assam & Meghalaya",1997,18.2,40.7,91.8,131.9,241.8,569.9,511.2,315.5,366.8,36.4,12.6,35.40
"Assam & Meghalaya",1998,11.8,31.5,136.8,185.7,250.6,581.2,604.4,549.5,212.3,190,48.9,0.40
"Assam & Meghalaya",1999,2.4,0.5,38.7,150.6,466.8,429,596.7,487.5,196.9,208.6,14.1,2.30
"Assam & Meghalaya",2000,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.40
"Assam & Meghalaya",2001,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.30
"Assam & Meghalaya",2002,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.90
"Assam & Meghalaya",2003,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250,231.8,13,18.60
"Assam & Meghalaya",2004,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.60
"Assam & Meghalaya",2005,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.30
"Assam & Meghalaya",2006,0.7,40.9,20.8,169,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.70
"Assam & Meghalaya",2007,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308,494.7,164.7,47.7,4.00
"Assam & Meghalaya",2008,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.60
"Assam & Meghalaya",2009,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9,4.00
"Assam & Meghalaya",2010,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387,318.3,116.2,11.6,7.60
"Assam & Meghalaya",2011,11.1,11.4,109,92.1,238.3,316,395.8,302.6,221.6,30.2,11.9,3.50
"Assam & Meghalaya",2012,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.30
"Assam & Meghalaya",2013,1.1,9.6,44,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1,2.00
"Assam & Meghalaya",2014,2,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35,3,0.40
"Assam & Meghalaya",2015,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14,15.20
"Assam & Meghalaya",2016,18.9,15.9,64.1,327.8,334,369,498.4,185.3,271.2,136.5,38.2,7.40
"Assam & Meghalaya",2017,1.7,37.8,116.7,310.9,268.4,485.2,429,483.1,345.4,212.1,10.3,11.00
"Naga Mani Mizo Tripura",1997,11.3,23.7,134.4,112,255,334,598.5,273.9,361.6,48.6,17.8,41.30
"Naga Mani Mizo Tripura",1998,28.1,31.6,136.4,164.6,352.2,297.6,480.6,367.3,222.3,97.9,46.5,0.30
"Naga Mani Mizo Tripura",1999,2.2,0,33.5,26.3,397.5,358.4,422.7,391.3,338.5,227.7,16.5,18.30
"Naga Mani Mizo Tripura",2000,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465,298.3,185.2,24.2,1.10
"Naga Mani Mizo Tripura",2001,1.5,46.9,38.8,83.6,313.8,478,322.6,263,269,266.4,65.4,0.20
"Naga Mani Mizo Tripura",2002,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.00
"Naga Mani Mizo Tripura",2003,3.8,11.5,78,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.90
"Naga Mani Mizo Tripura",2004,4.8,2.7,11,341.5,211,449.2,558.6,284.3,351,132.7,6.4,0.50
"Naga Mani Mizo Tripura",2005,6.4,15,118.6,98.1,237,212.3,301.5,334.8,292.6,194.3,15.6,10.50
"Naga Mani Mizo Tripura",2006,0.6,12.4,5.5,111.1,382.2,445.6,335,241.6,231.1,90.4,13,3.70
"Naga Mani Mizo Tripura",2007,7.9,54.7,28.7,220.4,276.7,446.3,430,373.8,426.6,180.5,82.6,10.10
"Naga Mani Mizo Tripura",2008,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.20
"Naga Mani Mizo Tripura",2009,0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.20
"Naga Mani Mizo Tripura",2010,1,7.9,85.8,161.5,294,411.6,367.5,393.2,309.8,220.2,9.2,33.50
"Naga Mani Mizo Tripura",2011,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.20
"Naga Mani Mizo Tripura",2012,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32,0.40
"Naga Mani Mizo Tripura",2013,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.20
"Naga Mani Mizo Tripura",2014,1.2,21,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.10
"Naga Mani Mizo Tripura",2015,14.4,14.2,21.6,253.5,198.3,283.9,413.6,334.2,255.9,118.7,3.9,10.00
"Naga Mani Mizo Tripura",2016,8.5,33.5,57.6,135.4,285.7,287.8,326.2,319,296,114.7,90.3,1.70
"Naga Mani Mizo Tripura",2017,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.10
"Sub Himalayan West Bengal & Sikkim",1997,18.9,31.3,76.4,119.5,166.9,613.3,488.1,479,443.9,41.3,16.3,56.50
"Sub Himalayan West Bengal & Sikkim",1998,13.6,37,125.1,154.1,254.2,653,854.6,860.4,478.9,209.1,13.1,2.10
"Sub Himalayan West Bengal & Sikkim",1999,8.7,6.2,17.9,156,335.4,550.5,831.7,751.6,404.1,246,10.7,4.50
"Sub Himalayan West Bengal & Sikkim",2000,10.7,36.2,55.1,185.1,326.5,649.6,574.3,498.1,465.8,82.9,22.6,1.20
"Sub Himalayan West Bengal & Sikkim",2001,4,20.5,50.2,134.8,347.2,472.2,399,424.5,434.9,282.8,36.6,5.90
"Sub Himalayan West Bengal & Sikkim",2002,30.1,10,95.6,237.1,181.7,407.2,743.3,406.6,340.1,75.7,8.7,10.80
"Sub Himalayan West Bengal & Sikkim",2003,17,79.2,90.1,171.4,211.7,516.6,703,354,321.4,223,16.4,19.20
"Sub Himalayan West Bengal & Sikkim",2004,19.9,11.5,40.5,163.5,287.5,489.5,739.5,356.4,394.7,198.4,9,4.40
"Sub Himalayan West Bengal & Sikkim",2005,19.5,21,132.1,155.5,254,446.5,704.3,564.5,229.9,271.1,8.8,0.50
"Sub Himalayan West Bengal & Sikkim",2006,0.7,17,39.8,119.3,270.5,446.2,470.2,295,456.8,118.4,20.3,7.90
"Sub Himalayan West Bengal & Sikkim",2007,3.1,81.1,46.6,160.1,215.1,485.1,686.3,412.4,458.6,79.5,8.8,2.00
"Sub Himalayan West Bengal & Sikkim",2008,33.2,22.1,79.8,141.8,171.4,526.5,657.7,636.3,296.7,97.9,16.9,9.50
"Sub Himalayan West Bengal & Sikkim",2009,6,40.3,55,115.2,308.7,350.6,456.1,568.4,174.6,235.1,9.1,5.60
"Sub Himalayan West Bengal & Sikkim",2010,5.6,19.6,77.6,176.6,335.9,558.1,593.4,461.3,308.1,66.2,7.9,2.20
"Sub Himalayan West Bengal & Sikkim",2011,8.5,19.9,71.2,135,247.8,419.8,612.3,470.3,356.3,46.7,26.7,4.30
"Sub Himalayan West Bengal & Sikkim",2012,15.3,13.9,45.5,159.8,202.4,604.2,684.5,332.7,434.7,119.4,12.5,7.40
"Sub Himalayan West Bengal & Sikkim",2013,3,23.6,32.1,114.7,296.5,404.9,588.4,416.3,308,199.8,16.1,2.70
"Sub Himalayan West Bengal & Sikkim",2014,0.2,26.6,37.7,47.9,308.6,543.2,384.6,563.3,371.5,31.2,5.3,2.40
"Sub Himalayan West Bengal & Sikkim",2015,15.7,15,64.8,149,304.6,508.2,393.3,626.6,354.9,53.6,23.8,9.00
"Sub Himalayan West Bengal & Sikkim",2016,20.7,7.1,98.9,101.4,233.7,570.8,732.1,209.9,494.3,155.6,0,0.30
"Sub Himalayan West Bengal & Sikkim",2017,3,5.1,84.6,146.8,226.8,400.6,478.6,777.9,390.1,166.5,3.8,1.00
"Gangetic West Bengal",1997,18.7,23.6,44.2,101.8,98.2,219.6,437.3,387.3,244,27.8,30.5,24.90
"Gangetic West Bengal",1998,52.9,31,128.8,53,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0.00
"Gangetic West Bengal",1999,0.1,0.7,1.6,10.5,217.9,268.8,405.2,375.4,467.8,195.3,13.7,0.00
"Gangetic West Bengal",2000,9.5,57.9,3.8,54,215,205.6,341.5,178.4,428.4,76.2,1.6,0.10
"Gangetic West Bengal",2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0.00
"Gangetic West Bengal",2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.10
"Gangetic West Bengal",2003,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.70
"Gangetic West Bengal",2004,3.3,1.6,14.9,62.8,72.9,287.5,250.7,389.9,264.3,220.7,0,0.80
"Gangetic West Bengal",2005,26.8,11.8,82.8,41.8,82.4,200.1,354.5,226.7,221.3,351.7,0,4.90
"Gangetic West Bengal",2006,0.8,3,10.6,60.5,120.8,221,486.6,320.3,380.9,49.7,5.9,0.30
"Gangetic West Bengal",2007,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328,459.9,55.8,24.6,0.00
"Gangetic West Bengal",2008,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0,0.20
"Gangetic West Bengal",2009,2.4,1.4,17.9,2.6,229,69.7,277.6,332.7,294.6,77.3,9.4,0.30
"Gangetic West Bengal",2010,0.2,10.3,8,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.70
"Gangetic West Bengal",2011,2.5,2.7,40.5,75,132.6,434.5,219.9,443.2,295.9,36.9,1.3,1.40
"Gangetic West Bengal",2012,40.7,15.3,4.4,57.7,44.2,146.6,315,261.4,246.9,64.2,47,24.60
"Gangetic West Bengal",2013,2.5,10,4.8,45.6,195.9,233.4,263.2,401.4,254,353.2,0,0.00
"Gangetic West Bengal",2014,0.9,42.2,19.9,1.9,124.4,193.6,298.7,292.6,229.5,56.9,0.1,0.60
"Gangetic West Bengal",2015,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164,32.7,2.3,6.30
"Gangetic West Bengal",2016,9.9,37.9,14.7,5.8,111.9,172.7,334.7,416.7,233.7,69.8,19.2,0.00
"Gangetic West Bengal",2017,1.4,0,35.2,25.8,106.3,193.7,489.3,264.5,191.4,225.2,21.9,14.00
Orissa,1997,17.9,5.3,31.9,77.8,33,197.6,303.4,479.9,234.6,37,27.4,58.80
Orissa,1998,31.5,28.3,52.4,43.4,53.4,176.4,277.6,203.5,277.3,139.6,73.8,0.00
Orissa,1999,0.1,0.7,0.9,3.2,164.8,222.9,270.2,325.9,266.4,215.4,13.9,0.00
Orissa,2000,0.9,33.3,1.1,21.3,74.7,233.7,272.3,273.6,158,26.6,1.6,0.10
Orissa,2001,0.4,1.4,32.3,28.7,71,336.1,584.2,380.9,132,86.8,18.7,0.00
Orissa,2002,11.7,0.2,13.1,25.1,67.5,182.4,170.2,371.2,206.5,47.1,7.8,0.00
Orissa,2003,0.1,16.2,21.6,24.7,22.6,178.9,367.5,425.1,264.3,287.4,11,28.80
Orissa,2004,6.8,8,6.4,49.2,29.7,216.4,328,346.4,148.1,149.6,1.8,0.00
Orissa,2005,29.4,4,24.3,20.9,44.9,199.4,410.3,201,342.8,206.9,12.4,7.10
Orissa,2006,0.2,0,29.9,25,105.6,175.2,454,624.9,254.7,26.4,21,0.00
Orissa,2007,0.7,32.5,8,21,62.8,321,285.1,420.6,401.7,66.4,14,0.00
Orissa,2008,27.5,10.4,17.5,28.2,37.4,343.5,306.4,388.3,355,22.1,2.7,0.00
Orissa,2009,1.9,0.5,2.7,1.1,68.2,87.3,586,286.9,162.5,105.8,27.3,0.10
Orissa,2010,8.8,1.2,5.6,7.8,93,146.4,304.9,282.7,236,133,35.6,37.20
Orissa,2011,3.7,16.2,4.9,58.2,75.6,210.1,199.6,358.6,398.7,20.2,0.1,0.40
Orissa,2012,50.8,3.6,0.9,34.8,21.3,169.6,324.3,417,242.4,66,72.1,3.10
Orissa,2013,3.3,7.8,2.1,53.6,57.7,272.6,380,254.9,208.1,391,1.2,0.00
Orissa,2014,0,17.6,25.1,11.7,111.9,92.2,496.2,386.3,281.1,111.8,2.2,0.90
Orissa,2015,15.1,3.3,10.5,67.6,32.6,238.6,294.8,264,237,24.7,6.2,15.60
Orissa,2016,2.2,16.7,15.2,8.6,74.9,164.2,280.3,320.8,266.2,93.5,10.4,0.50
Orissa,2017,1.7,0,29.8,8.7,55.2,209.5,349.7,301.7,192.2,161.1,30,4.80
Jharkhand,1997,9.5,3.7,1.5,29.4,25.2,230.4,400.5,431.6,199.6,54.3,39,36.60
Jharkhand,1998,76.3,20.6,54.1,33.8,45.5,109.9,302.4,263.2,288.6,132.3,26.3,0.70
Jharkhand,1999,0.6,0.1,0.1,1.5,95.4,240.2,416,373.1,315.8,140.6,3.3,0.20
Jharkhand,2000,3.6,21.2,6.3,19.6,67.7,185.3,358.4,152.8,356.9,19.1,0.4,0.20
Jharkhand,2001,1.9,4,30,14,57.4,324.7,354.6,219.4,132.8,115.5,0.2,0.00
Jharkhand,2002,9,5.4,10.7,11.5,38.7,184.9,186.8,277.4,253.4,55,1.3,0.80
Jharkhand,2003,3.3,30.5,33.6,17.9,21.5,152.4,247.5,245.1,224,255.5,6.2,7.40
Jharkhand,2004,5.5,2.7,3.1,41,31.1,184.4,200.7,327,211.5,128.1,0.1,1.60
Jharkhand,2005,22.1,17.5,17.7,9.6,23.5,157.2,266.4,214.5,141.5,83.1,1.3,6.10
Jharkhand,2006,0.3,0.2,22.4,15.7,107.4,198.3,447.1,337.2,298.7,24.6,7.4,0.00
Jharkhand,2007,1.7,48.4,25.5,22.3,58.1,125.4,430.4,353.6,324.7,39.6,7.6,0.00
Jharkhand,2008,19.4,3.6,6.2,10.7,42.9,366.3,377.9,310.5,152.9,34,1,0.00
Jharkhand,2009,1.8,0.8,2,0.8,78.1,62.7,266.6,248,248.8,82.2,4,0.50
Jharkhand,2010,0.2,2.3,0.9,6.3,29.2,92.6,170.2,155.1,160.5,55.1,4.7,20.00
Jharkhand,2011,3.3,2.5,6.4,25.4,55,349,181.8,403.2,324.6,23.3,0,0.10
Jharkhand,2012,34.6,10.3,1.5,9.6,6.6,121.1,287.2,282.4,217.6,37.8,48.6,7.60
Jharkhand,2013,1.1,17.9,1.6,22.3,85,181.5,211.1,278.1,173.8,281.1,0,0.00
Jharkhand,2014,9.9,47.5,22.9,1.9,98.2,139.7,321.3,290.9,178.2,44.9,0,1.20
Jharkhand,2015,12.2,2.6,21.6,55.5,25.5,183.3,429.7,240.7,85.1,22.7,0.2,2.70
Jharkhand,2016,12.6,7.6,17.5,1,72.8,122.9,301,395.6,287.5,45.6,0,0.00
Jharkhand,2017,5.1,0.1,4.5,6.1,55.9,116,492.1,246,134,103.4,2.3,0.20
Bihar,1997,10.5,1.1,2.9,29.3,42.2,211,463.9,287.6,185.8,27.8,11,30.60
Bihar,1998,8.4,11.2,23.6,26.6,38.2,96.6,465.1,377.4,188,83,14.5,0.00
Bihar,1999,0.1,0.2,0.4,3.8,83.6,265.1,380.8,347.5,199.6,114.1,6.9,0.60
Bihar,2000,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.10
Bihar,2001,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0.00
Bihar,2002,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.70
Bihar,2003,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3.00
Bihar,2004,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0.00
Bihar,2005,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.20
Bihar,2006,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.60
Bihar,2007,0.2,34.2,25.4,20.3,94.4,170.4,549.4,340.6,309,39.6,9.1,7.50
Bihar,2008,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0.00
Bihar,2009,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.80
Bihar,2010,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.10
Bihar,2011,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.90
Bihar,2012,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0.00
Bihar,2013,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0.00
Bihar,2014,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.20
Bihar,2015,12.8,1.8,27.2,38.7,39.5,122.1,231.5,287,101.7,10.4,0,0.00
Bihar,2016,9.3,0.6,5.6,3.9,84,128.7,356.4,150.8,357.9,60.8,0,0.00
Bihar,2017,0.7,0,22.8,21.8,79.7,84.6,379.9,342.8,129.6,50.1,0,0.00
"East Uttar Pradesh",1997,6,0.4,0.6,13.3,15.8,69.5,291.3,41.5,32.1,8.1,4.1,10.80
"East Uttar Pradesh",1998,9.5,8.6,14.2,6.6,20.1,55.4,218.3,247,63.8,14.5,3,0.00
"East Uttar Pradesh",1999,8.7,6.8,0,0.2,23.6,112.6,254.2,261.5,211.1,71,1,2.00
"East Uttar Pradesh",2000,2.6,5.3,2.9,10.5,38.6,199.1,240.9,204.7,222.7,1.3,18.1,0.20
"East Uttar Pradesh",2001,1.1,1.4,1.3,4.2,26.7,229,294,185.9,152.1,75.3,2.8,0.00
"East Uttar Pradesh",2002,15,26.1,0.6,2.5,29.2,50.6,101.7,212.1,226.7,20.6,1.4,2.70
"East Uttar Pradesh",2003,13.8,36.9,2.6,8.8,2,124.9,255.2,301.4,333.8,7.6,0,9.30
"East Uttar Pradesh",2004,22.8,1.8,0,8.7,25.8,161,219.5,147.6,126.5,33,0.1,0.10
"East Uttar Pradesh",2005,14,14,10.3,0.9,8,57.5,290.3,227.3,119.7,25.2,0,2.90
"East Uttar Pradesh",2006,0,0,10.7,7.8,27.1,107.4,269.1,146.7,51.5,9.1,1.2,1.50
"East Uttar Pradesh",2007,0.1,46.6,25.8,3.2,28.3,64.5,265.2,180.4,111.5,14.6,0,1.10
"East Uttar Pradesh",2008,3.1,2.4,0.2,3,16.1,223.7,341.6,239.6,112.7,10.3,0.6,0.00
"East Uttar Pradesh",2009,0,1.1,0.8,0.6,22.8,29.9,149.4,177,139.6,80.9,4.9,3.00
"East Uttar Pradesh",2010,2.2,10,0,0,14.7,23.9,220.8,215.9,184.5,15.5,4.5,0.10
"East Uttar Pradesh",2011,1,2.7,1.6,2.9,32.2,163.8,197.9,232.1,146.4,0.6,0,0.00
"East Uttar Pradesh",2012,20.3,1.2,3.4,2.8,0.2,18.5,234.2,156,164.4,0.7,0.3,0.70
"East Uttar Pradesh",2013,6.1,59.6,2.7,8.7,1.1,309.7,230,246.1,78.2,97.4,0.5,1.10
"East Uttar Pradesh",2014,47.4,25.8,15.4,1.7,10.7,47.8,224.5,138.1,106.7,74.7,0,8.40
"East Uttar Pradesh",2015,30,4.1,48.2,23.2,8.6,95.3,179,175.8,21.9,11.8,0.5,4.90
"East Uttar Pradesh",2016,5.3,1.3,9.5,0,39.3,77.1,338.1,224.4,150.7,25.9,0,0.00
"East Uttar Pradesh",2017,9.7,0.1,4.3,2,25.8,50.8,328.9,185.1,85.2,3,0,0.00
"West Uttar Pradesh",1997,3.8,0.7,2.4,19.2,22.8,79.9,235.7,34.6,24,7.5,3.2,11.40
"West Uttar Pradesh",1998,3.3,8.1,23.5,9,10.4,71.4,273.4,343.7,84.2,39.6,0.7,0.00
"West Uttar Pradesh",1999,19.3,1.1,0,0,8.3,66.3,215.1,180.5,261.6,33.4,0.1,0.70
"West Uttar Pradesh",2000,8.8,22.9,1.7,2.1,23.6,143,251.2,238.9,79.1,0,0,0.00
"West Uttar Pradesh",2001,2.5,2.3,2.6,12,29.6,164.4,282,122.1,26.7,16.3,1.1,0.10
"West Uttar Pradesh",2002,16.8,37.6,2,0.7,21.5,29,29.6,252.3,218.1,6.7,0.4,10.50
"West Uttar Pradesh",2003,18.6,40.4,2.5,4.4,5.9,74.1,315.6,214.2,356.6,0.7,0.8,13.60
"West Uttar Pradesh",2004,20.6,0.7,0,20,21.7,59.3,124.2,250.5,84,60.5,0.7,0.20
"West Uttar Pradesh",2005,10.1,17.9,22.6,1.2,6.9,67.1,298.2,96,202.5,2.5,0,0.60
"West Uttar Pradesh",2006,0.5,0,20.2,4,34.1,66.6,241.6,78.1,65.7,16.7,0.7,1.00
"West Uttar Pradesh",2007,0.4,66.9,37.4,0.9,11,88.4,155.1,152.2,57,1.8,0,1.40
"West Uttar Pradesh",2008,0.9,0.2,0,4,24.8,193.8,258.5,217.4,90.9,5.1,4,0.00
"West Uttar Pradesh",2009,1.3,3.9,1.2,8.7,12.8,17.1,118.3,184.5,125.4,59.3,13.9,2.80
"West Uttar Pradesh",2010,3.2,13.7,0.2,0.4,9.3,12.5,282,213.8,263.9,4.7,12.8,4.10
"West Uttar Pradesh",2011,2.1,10.4,3.9,2.8,29.6,175.9,215.9,232.3,101.7,0.7,0.5,1.50
"West Uttar Pradesh",2012,14.5,0.1,1.4,4.7,0.3,4,145.1,149.1,67.8,0.5,0.1,2.00
"West Uttar Pradesh",2013,20.4,69.5,3.5,1.6,2.1,190.6,233.9,287.1,52.2,61.2,1.7,8.90
"West Uttar Pradesh",2014,48.3,29.4,22.6,5.3,11,22,151.6,81,84.7,14.6,0,16.30
"West Uttar Pradesh",2015,31.6,7.2,66.8,21,8.1,72,194.2,143.5,26.5,6.9,2,3.00
"West Uttar Pradesh",2016,2.1,2,10.4,0.5,28.3,60,352.5,182.9,44.7,9.6,0,0.00
"West Uttar Pradesh",2017,22,1.1,8.5,1.4,13.5,85.1,181,129.8,140.7,0.6,0,1.60
