SUBDIVISION,YEAR,JF,MAM,JJAS,OND
"Assam & Meghalaya",2006,41.5,515.5,1208.1,133.5
"Assam & Meghalaya",2007,75.2,486.1,1975.1,216.4
"Assam & Meghalaya",2008,44.2,474.4,1683.9,137.2
"Assam & Meghalaya",2009,19.5,426.2,1473.5,149
"Assam & Meghalaya",2010,3.7,882.3,1690.2,135.3
"Assam & Meghalaya",2011,22.5,439.4,1236,45.6
"Assam & Meghalaya",2012,22.1,493.7,1874.8,218.8
"Assam & Meghalaya",2013,10.7,503.5,1172.9,129.3
"Assam & Meghalaya",2014,30.3,431.9,1705.5,38.5
"Assam & Meghalaya",2015,28.9,620.9,1729.3,91.8
"Assam & Meghalaya",2016,34.8,726,1323.9,182.1
"Assam & Meghalaya",2017,39.5,695.9,1742.7,233.5
"Naga Mani Mizo Tripura",1997,35.1,501.4,1567.9,107.7
"Naga Mani Mizo Tripura",1998,59.7,653.2,1367.9,144.7
"Naga Mani Mizo Tripura",1999,2.2,457.3,1510.9,262.6
"Naga Mani Mizo Tripura",2000,48.6,746.9,1357.9,210.4
"Naga Mani Mizo Tripura",2001,48.4,436.1,1332.6,332
"Naga Mani Mizo Tripura",2002,22.5,645.1,1397.8,176.9
"Naga Mani Mizo Tripura",2003,15.3,502.4,1423.4,221.1
"Naga Mani Mizo Tripura",2004,7.4,563.5,1643.2,139.6
"Naga Mani Mizo Tripura",2005,21.4,453.7,1141.1,220.4
"Naga Mani Mizo Tripura",2006,12.9,498.8,1253.2,107.1
"Naga Mani Mizo Tripura",2007,62.6,525.8,1676.6,273.2
"Naga Mani Mizo Tripura",2008,44.4,305.3,1243,156.1
"Naga Mani Mizo Tripura",2009,3.2,330.1,1219.9,184.5
"Naga Mani Mizo Tripura",2010,8.9,541.4,1482,262.9
"Naga Mani Mizo Tripura",2011,16.1,467.4,1313.4,95.2
"Naga Mani Mizo Tripura",2012,34.7,427.3,1267.6,193.3
"Naga Mani Mizo Tripura",2013,5.9,428.9,995.2,127.1
"Naga Mani Mizo Tripura",2014,22.2,267.5,1237.2,73
"Naga Mani Mizo Tripura",2015,28.7,473.4,1287.7,132.6
"Naga Mani Mizo Tripura",2016,42,478.7,1229,206.7
"Naga Mani Mizo Tripura",2017,12.7,599.7,1829.8,363.3
"Sub Himalayan West Bengal & Sikkim",1997,50.2,362.9,2024.2,114.1
"Sub Himalayan West Bengal & Sikkim",1998,50.5,533.4,2846.8,224.3
"Sub Himalayan West Bengal & Sikkim",1999,14.9,509.3,2537.9,261.2
"Sub Himalayan West Bengal & Sikkim",2000,46.9,566.6,2187.8,106.7
"Sub Himalayan West Bengal & Sikkim",2001,24.5,532.2,1730.5,325.4
"Sub Himalayan West Bengal & Sikkim",2002,40.1,514.4,1897.2,95.2
"Sub Himalayan West Bengal & Sikkim",2003,96.3,473.3,1895.1,258.7
"Sub Himalayan West Bengal & Sikkim",2004,31.4,491.5,1980.1,211.8
"Sub Himalayan West Bengal & Sikkim",2005,40.6,541.6,1945.1,280.4
"Sub Himalayan West Bengal & Sikkim",2006,17.7,429.6,1668.2,146.6
"Sub Himalayan West Bengal & Sikkim",2007,84.2,421.7,2042.5,90.3
"Sub Himalayan West Bengal & Sikkim",2008,55.3,393,2117.3,124.3
"Sub Himalayan West Bengal & Sikkim",2009,46.3,478.9,1549.6,249.8
"Sub Himalayan West Bengal & Sikkim",2010,25.2,590,1920.8,76.3
"Sub Himalayan West Bengal & Sikkim",2011,28.4,453.9,1858.6,77.7
"Sub Himalayan West Bengal & Sikkim",2012,29.2,407.7,2056,139.3
"Sub Himalayan West Bengal & Sikkim",2013,26.7,443.4,1717.6,218.5
"Sub Himalayan West Bengal & Sikkim",2014,26.9,394.2,1862.6,38.9
"Sub Himalayan West Bengal & Sikkim",2015,30.7,518.5,1883,86.4
"Sub Himalayan West Bengal & Sikkim",2016,27.9,434,2007.1,155.8
"Sub Himalayan West Bengal & Sikkim",2017,8.1,458.2,2047.3,171.3
"Gangetic West Bengal",1997,42.3,244.1,1288.1,83.1
"Gangetic West Bengal",1998,83.9,268.9,1011.5,268.4
"Gangetic West Bengal",1999,0.8,230,1517.2,209
"Gangetic West Bengal",2000,67.4,272.8,1153.9,77.9
"Gangetic West Bengal",2001,2.2,258,1108,172.4
"Gangetic West Bengal",2002,27.8,218.1,1244.9,122.5
"Gangetic West Bengal",2003,12.2,188.2,928.2,368.1
"Gangetic West Bengal",2004,4.9,150.7,1192.3,221.5
"Gangetic West Bengal",2005,38.6,207,1002.6,356.6
"Gangetic West Bengal",2006,3.9,191.9,1408.8,55.9
"Gangetic West Bengal",2007,60.1,176.7,1624.2,80.4
"Gangetic West Bengal",2008,61.8,148.8,1272.3,72.4
"Gangetic West Bengal",2009,3.8,249.5,974.6,87.1
"Gangetic West Bengal",2010,10.5,151.3,770.7,132.2
"Gangetic West Bengal",2011,5.2,248.1,1393.6,39.6
"Gangetic West Bengal",2012,56,106.3,969.9,135.8
"Gangetic West Bengal",2013,12.5,246.3,1152,353.3
"Gangetic West Bengal",2014,43.1,146.2,1014.4,57.7
"Gangetic West Bengal",2015,18.4,165.6,1304.9,41.3
"Gangetic West Bengal",2016,47.8,132.4,1157.8,89
"Gangetic West Bengal",2017,1.4,167.3,1138.9,261.1
Orissa,1997,23.2,142.7,1215.5,123.2
Orissa,1998,59.8,149.1,934.8,213.4
Orissa,1999,0.8,168.9,1085.3,229.3
Orissa,2000,34.2,97,937.6,28.3
Orissa,2001,1.8,132,1433.2,105.6
Orissa,2002,11.9,105.7,930.2,54.9
Orissa,2003,16.3,68.9,1235.7,327.3
Orissa,2004,14.8,85.3,1038.9,151.4
Orissa,2005,33.4,90.1,1153.5,226.4
Orissa,2006,0.2,160.5,1508.8,47.4
Orissa,2007,33.2,91.8,1428.4,80.4
Orissa,2008,37.9,83.1,1393.2,24.8
Orissa,2009,2.4,72,1122.7,133.2
Orissa,2010,9.9,106.4,969.9,205.7
Orissa,2011,19.8,138.7,1167,20.7
Orissa,2012,54.4,57,1153.3,141.3
Orissa,2013,11.2,113.4,1115.6,392.2
Orissa,2014,17.7,148.7,1255.7,114.8
Orissa,2015,18.4,110.7,1034.5,46.5
Orissa,2016,18.9,98.7,1031.5,104.4
Orissa,2017,1.7,93.8,1053.1,195.9
Jharkhand,1997,13.2,56.1,1262.1,129.8
Jharkhand,1998,97,133.4,964.1,159.3
Jharkhand,1999,0.7,97,1345.1,144.1
Jharkhand,2000,24.7,93.6,1053.4,19.7
Jharkhand,2001,5.8,101.4,1031.5,115.7
Jharkhand,2002,14.4,60.9,902.5,57.1
Jharkhand,2003,33.9,73.1,869,269.1
Jharkhand,2004,8.2,75.2,923.5,129.7
Jharkhand,2005,39.6,50.7,779.5,90.5
Jharkhand,2006,0.5,145.5,1281.4,32
Jharkhand,2007,50.1,105.8,1234.1,47.2
Jharkhand,2008,22.9,59.7,1207.7,35
Jharkhand,2009,2.6,80.8,826.1,86.6
Jharkhand,2010,2.5,36.4,578.4,79.8
Jharkhand,2011,5.8,86.8,1258.7,23.4
Jharkhand,2012,45,17.7,908.3,94
Jharkhand,2013,19,109,844.5,281.1
Jharkhand,2014,57.4,123.1,930.1,46.1
Jharkhand,2015,14.8,102.6,938.8,25.6
Jharkhand,2016,20.2,91.3,1107,45.6
Jharkhand,2017,5.2,66.6,988.2,105.9
Bihar,1997,11.6,74.4,1148.3,69.5
Bihar,1998,19.6,88.4,1127,97.5
Bihar,1999,0.3,87.8,1192.9,121.7
Bihar,2000,12.7,137,1047.7,9.7
Bihar,2001,1.5,114,949.8,181.8
Bihar,2002,24.6,102.1,943.2,35.8
Bihar,2003,52.9,73.5,1082.3,145.2
Bihar,2004,24.8,107,956.4,59.5
Bihar,2005,28.2,48.5,796.7,34.5
Bihar,2006,0.1,94.3,936.3,22.1
Bihar,2007,34.3,140.2,1369.4,56.2
Bihar,2008,30,62.6,1083.5,21.6
Bihar,2009,0.7,102.5,707.7,78.4
Bihar,2010,1.3,51.1,536.2,40.7
Bihar,2011,11.8,107.6,964.8,12.9
Bihar,2012,20.9,46.5,924.4,40.6
Bihar,2013,27.7,122.4,722.2,197.5
Bihar,2014,50.5,112.9,848.6,49
Bihar,2015,14.6,105.5,742.3,10.4
Bihar,2016,9.9,93.5,993.9,60.8
Bihar,2017,0.7,124.3,936.8,50.2
"East Uttar Pradesh",1997,6.4,29.7,434.3,23
"East Uttar Pradesh",1998,18.1,41,584.4,17.5
"East Uttar Pradesh",1999,15.5,23.8,839.4,74.1
"East Uttar Pradesh",2000,7.9,52,867.4,19.5
"East Uttar Pradesh",2001,2.6,32.2,860.9,78.1
"East Uttar Pradesh",2002,41.1,32.2,591.1,24.7
"East Uttar Pradesh",2003,50.7,13.4,1015.3,16.9
"East Uttar Pradesh",2004,24.6,34.5,654.6,33.2
"East Uttar Pradesh",2005,28,19.2,694.8,28.2
"East Uttar Pradesh",2006,0,45.6,574.8,11.8
"East Uttar Pradesh",2007,46.7,57.2,621.6,15.7
"East Uttar Pradesh",2008,5.5,19.3,917.6,10.9
"East Uttar Pradesh",2009,1.1,24.2,496,88.9
"East Uttar Pradesh",2010,12.2,14.7,645.2,20.1
"East Uttar Pradesh",2011,3.7,36.7,740.2,0.6
"East Uttar Pradesh",2012,21.5,6.4,573.1,1.8
"East Uttar Pradesh",2013,65.8,12.6,864,99
"East Uttar Pradesh",2014,73.3,27.7,517.1,83.1
"East Uttar Pradesh",2015,34.1,80,472,17.2
"East Uttar Pradesh",2016,6.6,48.8,790.3,25.9
"East Uttar Pradesh",2017,9.8,32.2,650,3
"West Uttar Pradesh",1997,4.5,44.3,374.2,22.1
"West Uttar Pradesh",1998,11.4,42.9,772.7,40.2
"West Uttar Pradesh",1999,20.5,8.3,723.5,34.2
"West Uttar Pradesh",2000,31.7,27.4,712.2,0.1
"West Uttar Pradesh",2001,4.8,44.2,595.2,17.6
"West Uttar Pradesh",2002,54.5,24.2,529,17.6
"West Uttar Pradesh",2003,59,12.9,960.5,15.1
"West Uttar Pradesh",2004,21.3,41.7,517.9,61.4
"West Uttar Pradesh",2005,28,30.7,663.9,3.1
"West Uttar Pradesh",2006,0.5,58.3,452,18.4
"West Uttar Pradesh",2007,67.3,49.3,452.7,3.2
"West Uttar Pradesh",2008,1.2,28.8,760.7,9.1
"West Uttar Pradesh",2009,5.2,22.7,445.3,76
"West Uttar Pradesh",2010,16.8,10,772.3,21.6
"West Uttar Pradesh",2011,12.5,36.3,725.9,2.7
"West Uttar Pradesh",2012,14.5,6.4,366,2.7
"West Uttar Pradesh",2013,89.9,7.2,763.8,71.8
"West Uttar Pradesh",2014,77.7,39,339.4,30.8
"West Uttar Pradesh",2015,38.8,95.9,436.1,11.9
"West Uttar Pradesh",2016,4,39.2,640.1,9.6
"West Uttar Pradesh",2017,23.1,23.4,536.5,2.2
Uttarakhand,1997,57,177.9,529.5,39.1
Uttarakhand,1998,78,257.7,786.2,76.7
Uttarakhand,1999,44.4,53.1,1051.2,36.8
Uttarakhand,2000,99.3,139.4,1465.4,8.8
Uttarakhand,2001,50.6,240.7,1230.3,22.9
Uttarakhand,2002,177,258.5,1112.1,27.1
Uttarakhand,2003,166.7,220.9,1316.6,30.2
Uttarakhand,2004,70.2,117.6,954.7,77.1
Uttarakhand,2005,147.3,119.1,1061.3,20.5
Uttarakhand,2006,58.3,244.4,823.7,52.6
Uttarakhand,2007,140.6,243,1491.2,49.6
Uttarakhand,2008,67.3,178.4,1082.3,35.7
Uttarakhand,2009,29.4,114.8,608.7,94.9
Uttarakhand,2010,73.6,64.5,1253.9,32
Uttarakhand,2011,96.1,133.1,1328.5,6.9
Uttarakhand,2012,50.8,76.4,1073.1,23.6
Uttarakhand,2013,261.3,65,1373,36.2
Uttarakhand,2014,145.8,158.8,897.7,85.1
Uttarakhand,2015,117,222.6,881.5,26.4
Uttarakhand,2016,34.6,155,1102.7,16.2
Uttarakhand,2017,50.1,205.6,1199,21.3
"Haryana Delhi & Chandigarh",1997,8.8,87.9,457.5,114.4
"Haryana Delhi & Chandigarh",1998,25,40.6,535.6,84
"Haryana Delhi & Chandigarh",1999,32.4,21.5,285.4,5.1
"Haryana Delhi & Chandigarh",2000,46.2,25.6,311.1,1.6
"Haryana Delhi & Chandigarh",2001,23,74.8,376.3,11.4
"Haryana Delhi & Chandigarh",2002,42.7,62.1,241.8,10.7
"Haryana Delhi & Chandigarh",2003,44.6,13.3,528.5,11.2
"Haryana Delhi & Chandigarh",2004,25.7,58.8,347.5,55.3
"Haryana Delhi & Chandigarh",2005,49.6,40.3,428.8,0.8
"Haryana Delhi & Chandigarh",2006,2.4,55.7,262.6,10.2
"Haryana Delhi & Chandigarh",2007,76.5,54.6,313.7,1.7
"Haryana Delhi & Chandigarh",2008,2.8,86.9,606.6,14.1
"Haryana Delhi & Chandigarh",2009,10,35.2,346.3,4
"Haryana Delhi & Chandigarh",2010,15,7.2,600.8,17.5
"Haryana Delhi & Chandigarh",2011,27.5,44.4,439.8,0.4
"Haryana Delhi & Chandigarh",2012,8.4,15.8,360.7,6.5
"Haryana Delhi & Chandigarh",2013,73.2,10,363.3,14.7
"Haryana Delhi & Chandigarh",2014,30.3,54.6,200.2,20.3
"Haryana Delhi & Chandigarh",2015,18.9,114.9,295.2,6.2
"Haryana Delhi & Chandigarh",2016,1.2,48.1,343.3,6.2
"Haryana Delhi & Chandigarh",2017,34.5,21.8,359.4,6
Punjab,1997,19.9,75.1,485.1,110
Punjab,1998,58.7,47.3,432.6,50.1
Punjab,1999,49,26.8,287.9,0.7
Punjab,2000,52,23.5,326.9,2.9
Punjab,2001,10.1,67.5,357.1,6.2
Punjab,2002,9,31,228.4,6.3
Punjab,2003,67,26.2,324.3,7.1
Punjab,2004,38,42.7,234,37
Punjab,2005,96.1,42.2,413.4,0.4
Punjab,2006,18.7,79.5,504.8,44.7
Punjab,2007,70,64.1,448.6,12.1
Punjab,2008,16.1,60.3,629.3,11.4
Punjab,2009,23.9,30.1,300.1,7.1
Punjab,2010,17.6,8.6,395.1,30.2
Punjab,2011,39.2,44.9,617.5,3.6
Punjab,2012,65.8,34.7,379.6,13.6
Punjab,2013,59.4,18.6,479.7,28.9
Punjab,2014,41.9,75.5,244.6,20.7
Punjab,2015,49,115,336.3,10.5
Punjab,2016,12.5,60.2,367.9,3.4
Punjab,2017,45.5,39.1,390.1,22.9
"Himachal Pradesh",1997,109.3,223.8,881,240.3
"Himachal Pradesh",1998,147.3,252.3,854.3,127.7
"Himachal Pradesh",1999,163.5,138.8,804.8,37.8
"Himachal Pradesh",2000,237.2,173.7,640,17.5
"Himachal Pradesh",2001,66.2,240,622.5,63.1
"Himachal Pradesh",2002,203.2,287.9,486.6,12.8
"Himachal Pradesh",2003,156.1,201.9,613.3,63.2
"Himachal Pradesh",2004,129.3,118.3,467.5,163.5
"Himachal Pradesh",2005,370.7,230.9,640.3,6.6
"Himachal Pradesh",2006,140.7,250,732.1,95.6
"Himachal Pradesh",2007,122.3,225.9,631,55.4
"Himachal Pradesh",2008,193.1,93.6,749.4,78
"Himachal Pradesh",2009,100.7,188.2,550.3,117.2
"Himachal Pradesh",2010,122.1,186.8,851.2,99.4
"Himachal Pradesh",2011,141.3,157.3,796.6,13.2
"Himachal Pradesh",2012,143.5,93.7,686.3,28.1
"Himachal Pradesh",2013,262.5,138.1,748.2,63.2
"Himachal Pradesh",2014,194.5,254.6,486.6,73
"Himachal Pradesh",2015,223.9,322.3,607.2,57.2
"Himachal Pradesh",2016,57.2,232.1,624.8,7.5
"Himachal Pradesh",2017,204,207.3,715.7,55.2
"Jammu & Kashmir",1997,124,397.7,553.4,220.8
"Jammu & Kashmir",1998,372.2,453.3,449.3,51.1
"Jammu & Kashmir",1999,239.4,163.5,415.5,72
"Jammu & Kashmir",2000,266.2,171.9,485.9,60.6
"Jammu & Kashmir",2001,71.7,244.1,546.3,90.6
"Jammu & Kashmir",2002,159.9,224.8,488.3,30.5
"Jammu & Kashmir",2003,294.2,399.7,488.5,128.8
"Jammu & Kashmir",2004,246.6,227.6,331.8,138.9
"Jammu & Kashmir",2005,699.5,346.6,609.7,37
"Jammu & Kashmir",2006,292.5,174.9,817.8,234.5
"Jammu & Kashmir",2007,129,339.8,506.1,48.6
"Jammu & Kashmir",2008,284.2,170.8,612,157.4
"Jammu & Kashmir",2010,173.2,227.1,522.9,74.7
"Jammu & Kashmir",2011,254.9,219.2,357.3,56.1
"Jammu & Kashmir",2012,246.7,180.7,523,84.3
"Jammu & Kashmir",2013,188.6,136.7,465.8,68.1
"Jammu & Kashmir",2014,139.8,281.9,623.2,48.5
"Jammu & Kashmir",2015,215.1,579.3,614,164.5
"Jammu & Kashmir",2016,78.8,331.8,482.7,9.4
"Jammu & Kashmir",2017,361.8,280.1,543.9,93.1
"West Rajasthan",1997,1.3,36.4,246.7,60.7
"West Rajasthan",1998,8.7,11,201.6,58.3
"West Rajasthan",1999,9.5,39.6,147.6,7.6
"West Rajasthan",2000,1,7.7,225.1,1.5
"West Rajasthan",2001,1.5,33.4,243.1,7.3
"West Rajasthan",2002,3,13.7,67.2,8.6
"West Rajasthan",2003,23.7,3,341.1,0.3
"West Rajasthan",2004,2.4,10.8,163.3,20.3
"West Rajasthan",2005,15.6,29.6,215.4,0.1
"West Rajasthan",2006,0,28.6,324.4,8.3
"West Rajasthan",2007,35,28.1,246.7,1
"West Rajasthan",2008,1.8,43.6,269.5,9.1
"West Rajasthan",2009,5.7,14.5,139.8,0.5
"West Rajasthan",2010,3.6,4.1,439.2,26.2
"West Rajasthan",2011,11.8,10.7,396.1,0.1
"West Rajasthan",2012,0.5,19.9,304.3,2.5
"West Rajasthan",2013,30.4,8.9,339,11.1
"West Rajasthan",2014,3,36,262.6,0.7
"West Rajasthan",2015,2.3,71,384,1.2
"West Rajasthan",2016,1.7,11.1,316.1,18.1
"West Rajasthan",2017,6.3,33.6,365.9,2.4
"East Rajasthan",1997,1,26.1,470.6,76.1
"East Rajasthan",1998,1.8,9.3,425.2,39.5
"East Rajasthan",1999,6.5,6.4,379.9,15.6
"East Rajasthan",2000,0.8,23.7,415,0.5
"East Rajasthan",2001,1,29.5,505.7,15
"East Rajasthan",2002,12.6,9.8,256.8,6
"East Rajasthan",2003,25.4,4.2,594.4,2.5
"East Rajasthan",2004,2.5,11.5,564.2,28
"East Rajasthan",2005,4.1,16.7,547.1,0
"East Rajasthan",2006,0,25.4,720,3
"East Rajasthan",2007,17.5,17.6,540.1,0.5
"East Rajasthan",2008,0.1,31.6,607.3,5.5
"East Rajasthan",2009,0.7,8.4,386.7,18.4
"East Rajasthan",2010,4.3,1.6,628.3,55.2
"East Rajasthan",2011,11.2,5.9,784.9,0
"East Rajasthan",2012,1.9,13.1,678,0.6
"East Rajasthan",2013,23.1,4.6,776.1,32.2
"East Rajasthan",2014,38.4,22.1,618.4,4.4
"East Rajasthan",2015,12.1,75.3,557,6.3
"East Rajasthan",2016,1,13.3,813.7,32.6
"East Rajasthan",2017,8.4,21.3,566.9,3.8
"West Madhya Pradesh",1997,3,6.4,867.6,181.4
"West Madhya Pradesh",1998,3.1,11.3,867,45.5
"West Madhya Pradesh",1999,32,4.5,929.8,86.5
"West Madhya Pradesh",2001,2.2,23.5,699.1,62.2
"West Madhya Pradesh",2002,20.1,7.1,644.4,12.6
"West Madhya Pradesh",2003,22.2,1.4,919.2,3.6
"West Madhya Pradesh",2004,16.8,5.3,779.2,46.7
"West Madhya Pradesh",2005,16.8,20.3,712.4,2.7
"West Madhya Pradesh",2006,0,70.4,1073.5,25.2
"West Madhya Pradesh",2007,13.3,17.8,764.3,11.1
"West Madhya Pradesh",2008,0.4,8.8,761.5,20.5
"West Madhya Pradesh",2009,5.5,7.9,689.4,174.1
"West Madhya Pradesh",2010,7.6,1.4,748.3,19
"West Madhya Pradesh",2011,1.7,5.5,1056.5,0.2
"West Madhya Pradesh",2012,6.2,4,1023,2.1
"West Madhya Pradesh",2013,32.8,11.7,1280.4,71.4
"West Madhya Pradesh",2014,60,7.5,771.6,25.8
"West Madhya Pradesh",2015,46.6,68.9,914.5,12.4
"West Madhya Pradesh",2016,5.3,12.4,1039.6,40.6
"West Madhya Pradesh",2017,6.5,8.5,738,16
"East Madhya Pradesh",1997,4,11.3,1101.1,240.6
"East Madhya Pradesh",1998,35.4,32.2,892.1,53.8
"East Madhya Pradesh",1999,22.7,4.8,1337.4,79
"East Madhya Pradesh",2000,0.1,7.5,864.9,1.8
"East Madhya Pradesh",2001,3.1,37.7,1018.2,111
"East Madhya Pradesh",2002,31.5,6.6,862.2,49.9
"East Madhya Pradesh",2003,60.3,3.7,1350.2,23.8
"East Madhya Pradesh",2004,20.2,5.7,900.2,29.3
"East Madhya Pradesh",2005,45.8,72.5,1216.1,32
"East Madhya Pradesh",2006,0,82.5,832.6,28.4
"East Madhya Pradesh",2007,33.3,17.7,575.3,27.5
"East Madhya Pradesh",2008,5.5,16.7,962.2,18.9
"East Madhya Pradesh",2009,15.7,8.2,752.8,167.1
"East Madhya Pradesh",2010,13.2,2.4,907,37.8
"East Madhya Pradesh",2011,2.5,12.1,1259.4,1.1
"East Madhya Pradesh",2012,40,2.9,990.9,19.2
"East Madhya Pradesh",2013,45.4,23.9,1326.9,125.7
"East Madhya Pradesh",2014,81.8,25.3,746.6,71.2
"East Madhya Pradesh",2015,48.3,105.5,745.1,40.3
"East Madhya Pradesh",2016,22.3,35.6,1253.1,29
"East Madhya Pradesh",2017,11.3,13.4,795.8,19.5
"Gujarat Region",1997,0.7,7.1,1051.3,9.8
"Gujarat Region",1998,0.1,0,966.7,103.2
"Gujarat Region",1999,2,7.4,489.6,69.5
"Gujarat Region",2000,0.1,36.1,510.6,3.9
"Gujarat Region",2001,6.1,2.3,811.5,29
"Gujarat Region",2002,4.1,0.1,632.2,0.8
"Gujarat Region",2003,6.1,0.1,1152.2,1.9
"Gujarat Region",2004,0,4.4,979.1,22.3
"Gujarat Region",2005,0,0.3,1314.7,1.4
"Gujarat Region",2006,0,1.1,1464.9,12.1
"Gujarat Region",2007,0.5,0.3,1176.7,1.4
"Gujarat Region",2008,0,3.3,893.9,14
"Gujarat Region",2009,0,0.3,605.7,35.5
"Gujarat Region",2010,0.2,0,1035,53.4
"Gujarat Region",2011,0.2,0,889.8,0.4
"Gujarat Region",2012,0.1,0,706.7,7.1
"Gujarat Region",2013,0.9,4.7,1059.6,53.3
"Gujarat Region",2014,5.8,2.5,692.8,4.6
"Gujarat Region",2015,1.8,12.5,606.1,2.6
"Gujarat Region",2016,0,1,696.9,66.9
"Gujarat Region",2017,0,0.2,997.7,26.6
"Saurashtra & Kutch",1997,0.8,3.9,593.7,1.9
"Saurashtra & Kutch",1998,0,0,415.2,151.6
"Saurashtra & Kutch",1999,11.8,131.9,144.2,92.9
"Saurashtra & Kutch",2000,0,2.9,280.9,2.3
"Saurashtra & Kutch",2001,0,1,501.5,7.6
"Saurashtra & Kutch",2002,0,0,307,1
"Saurashtra & Kutch",2003,0.4,0,682.7,3
"Saurashtra & Kutch",2004,0.2,13.6,448.6,19.8
"Saurashtra & Kutch",2005,0,0.4,629.4,1.7
"Saurashtra & Kutch",2006,0,1.9,697.7,2.3
"Saurashtra & Kutch",2007,1.9,0.3,885.7,2.8
"Saurashtra & Kutch",2008,0.2,0.6,593,14.1
"Saurashtra & Kutch",2009,0,0.1,592,4.9
"Saurashtra & Kutch",2010,0.1,0.1,1043.7,75.9
"Saurashtra & Kutch",2011,1.4,0,739.8,1.3
"Saurashtra & Kutch",2012,0,0.2,320.1,3.4
"Saurashtra & Kutch",2013,1.9,8.7,642.5,28.6
"Saurashtra & Kutch",2014,0.3,2.7,373,7.8
"Saurashtra & Kutch",2015,0.9,7.4,429.8,3.6
"Saurashtra & Kutch",2016,0,1.3,416.9,64.7
"Saurashtra & Kutch",2017,0.1,0.1,645.8,6.1
"Konkan & Goa",1997,2.6,2.8,2893.4,128.5
"Konkan & Goa",1998,0,9.7,2900.6,324.4
"Konkan & Goa",1999,0,67.1,2664.5,180.4
"Konkan & Goa",2000,1.2,191.2,2841.2,99.7
"Konkan & Goa",2001,5.6,62.4,2232.7,94.7
"Konkan & Goa",2002,0,12.3,2446.4,78.6
"Konkan & Goa",2003,1.2,13.2,2771.6,56.3
"Konkan & Goa",2004,0,57.2,2885.5,43.1
"Konkan & Goa",2005,1.4,15.6,3522.2,76.6
